match_id,stage,team_a_sql,team_b_sql,old_utc,old_google_tz,serpapi_found,google_local,new_utc,delta_minutes,serpapi_team_a,serpapi_team_b,stadium,query
M079,round_of_32,TBD,TBD,2026-07-01T03:00:00+00:00,2026-06-30T21:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 79 round of 32 kickoff time
M080,round_of_32,TBD,TBD,2026-07-01T17:00:00+00:00,2026-07-01T11:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 80 round of 32 kickoff time
M081,round_of_32,TBD,TBD,2026-07-02T00:00:00+00:00,2026-07-01T18:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 81 round of 32 kickoff time
M082,round_of_32,TBD,TBD,2026-07-02T04:00:00+00:00,2026-07-01T22:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 82 round of 32 kickoff time
M083,round_of_32,TBD,TBD,2026-07-02T23:00:00+00:00,2026-07-02T17:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 83 round of 32 kickoff time
M084,round_of_32,TBD,TBD,2026-07-03T00:00:00+00:00,2026-07-02T18:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 84 round of 32 kickoff time
M085,round_of_32,TBD,TBD,2026-07-03T07:00:00+00:00,2026-07-03T01:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 85 round of 32 kickoff time
M086,round_of_32,TBD,TBD,2026-07-03T21:00:00+00:00,2026-07-03T15:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 86 round of 32 kickoff time
M087,round_of_32,TBD,TBD,2026-07-03T23:00:00+00:00,2026-07-03T17:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 87 round of 32 kickoff time
M088,round_of_32,TBD,TBD,2026-07-04T03:30:00+00:00,2026-07-03T21:30:00-06:00,no,,,,,,,FIFA World Cup 2026 match 88 round of 32 kickoff time
M089,round_of_16,TBD,TBD,2026-07-04T19:00:00+00:00,2026-07-04T13:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 89 round of 16 kickoff time
M090,round_of_16,TBD,TBD,2026-07-04T22:00:00+00:00,2026-07-04T16:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 90 round of 16 kickoff time
M091,round_of_16,TBD,TBD,2026-07-05T21:00:00+00:00,2026-07-05T15:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 91 round of 16 kickoff time
M092,round_of_16,TBD,TBD,2026-07-06T02:00:00+00:00,2026-07-05T20:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 92 round of 16 kickoff time
M093,round_of_16,TBD,TBD,2026-07-06T21:00:00+00:00,2026-07-06T15:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 93 round of 16 kickoff time
M094,round_of_16,TBD,TBD,2026-07-07T04:00:00+00:00,2026-07-06T22:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 94 round of 16 kickoff time
M095,round_of_16,TBD,TBD,2026-07-07T17:00:00+00:00,2026-07-07T11:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 95 round of 16 kickoff time
M096,round_of_16,TBD,TBD,2026-07-08T00:00:00+00:00,2026-07-07T18:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 96 round of 16 kickoff time
M097,quarterfinal,TBD,TBD,2026-07-09T21:00:00+00:00,2026-07-09T15:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 97 quarterfinal kickoff time
M098,quarterfinal,TBD,TBD,2026-07-10T23:00:00+00:00,2026-07-10T17:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 98 quarterfinal kickoff time
M099,quarterfinal,TBD,TBD,2026-07-11T22:00:00+00:00,2026-07-11T16:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 99 quarterfinal kickoff time
M100,quarterfinal,TBD,TBD,2026-07-12T03:00:00+00:00,2026-07-11T21:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 100 quarterfinal kickoff time
M101,semifinal,TBD,TBD,2026-07-14T21:00:00+00:00,2026-07-14T15:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 101 semifinal kickoff time
M102,semifinal,TBD,TBD,2026-07-15T20:00:00+00:00,2026-07-15T14:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 102 semifinal kickoff time
M103,third_place,TBD,TBD,2026-07-18T22:00:00+00:00,2026-07-18T16:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 103 third place kickoff time
M104,final,TBD,TBD,2026-07-19T20:00:00+00:00,2026-07-19T14:00:00-06:00,no,,,,,,,FIFA World Cup 2026 match 104 final kickoff time
